Numero decimal , Binario, Hexadecimal
-39, 11011001, FFFFFFD9
-36, 11011100, FFFFFFDC
8, 1000, 8
34, 100010, 22
17, 10001, 11
49, 110001, 31
5, 101, 5
0, 0, 0
33, 100001, 21
12, 1100, C
-6, 11111010, FFFFFFFA
27, 11011, 1B
-4, 11111100, FFFFFFFC
-38, 11011010, FFFFFFDA
26, 11010, 1A
49, 110001, 31
29, 11101, 1D
42, 101010, 2A
-16, 11110000, FFFFFFF0
34, 100010, 22
20, 10100, 14
0, 0, 0
25, 11001, 19
45, 101101, 2D
3, 11, 3
-46, 11010010, FFFFFFD2
-46, 11010010, FFFFFFD2
29, 11101, 1D
33, 100001, 21
29, 11101, 1D
26, 11010, 1A
-5, 11111011, FFFFFFFB
-36, 11011100, FFFFFFDC
12, 1100, C
45, 101101, 2D
-50, 11001110, FFFFFFDD
0, 0, 0
-6, 11111010, FFFFFFFA
Tiempo de execucion en segundos: 0.0
